run_data_dir,method,pair_name,role_a,role_b,image_name,cover_mean_score,stego_mean_score,cover_max_score,stego_max_score,cover_flagged_ratio,stego_flagged_ratio,cover_mean_conf,stego_mean_conf,score_delta,max_score_delta,flagged_ratio_delta,confidence_delta,pair_mean_conf,score_delta_conf_weighted,pre_secret_mean_score,secret_mean_score,pre_secret_max_score,secret_max_score,pre_secret_flagged_ratio,secret_flagged_ratio,pre_secret_mean_conf,secret_mean_conf
data/baseline/0,dct,pre_secret_vs_secret,pre_secret,secret,00299.png,,,,,,,,,0.35000000000000003,1.3,0.25,0.0,0.5,0.17500000000000002,0.0,0.35000000000000003,0.0,1.3,0.0,0.25,0.5,0.5
data/baseline/0,dct,pre_secret_vs_secret,pre_secret,secret,00399.png,,,,,,,,,2.8249999999999997,11.2,0.0,0.0,0.5,1.4124999999999999,0.075,2.9,0.3,11.5,0.25,0.25,0.5,0.5
data/baseline/0,dct,pre_secret_vs_secret,pre_secret,secret,00499.png,,,,,,,,,0.025,0.1,0.0,0.0,0.5,0.0125,0.0,0.025,0.0,0.1,0.0,0.0,0.5,0.5
data/baseline/0,dct,pre_secret_vs_secret,pre_secret,secret,00599.png,,,,,,,,,0.375,1.4,0.25,0.0,0.5,0.1875,0.0,0.375,0.0,1.4,0.0,0.25,0.5,0.5
data/baseline/0,dct,pre_secret_vs_secret,pre_secret,secret,00699.png,,,,,,,,,3.0,11.9,0.0,0.0,0.5,1.5,0.1,3.1,0.4,12.3,0.25,0.25,0.5,0.5
data/baseline/0,dct,pre_secret_vs_secret,pre_secret,secret,00799.png,,,,,,,,,2.35,9.3,0.25,-0.06666666666666676,0.5333333333333334,1.2533333333333336,0.0,2.35,0.0,9.3,0.0,0.25,0.5666666666666668,0.5
data/baseline/0,dct,pre_secret_vs_secret,pre_secret,secret,00899.png,,,,,,,,,1.05,4.1000000000000005,0.25,0.0,0.5,0.525,0.025,1.075,0.1,4.2,0.0,0.25,0.5,0.5
data/baseline/0,dct,pre_secret_vs_secret,pre_secret,secret,00999.png,,,,,,,,,1.625,6.6,0.0,0.0,0.5,0.8125,0.15000000000000002,1.775,0.4,7.0,0.25,0.25,0.5,0.5
data/baseline/0,dct,pre_secret_vs_secret,pre_secret,secret,01099.png,,,,,,,,,1.975,7.800000000000001,0.0,0.0,0.5,0.9875,0.025,2.0,0.1,7.9,0.25,0.25,0.5,0.5
data/baseline/0,dct,pre_secret_vs_secret,pre_secret,secret,01199.png,,,,,,,,,0.42500000000000004,1.6,0.25,0.0,0.5,0.21250000000000002,0.0,0.42500000000000004,0.0,1.6,0.0,0.25,0.5,0.5
data/baseline/0,dct,pre_secret_vs_secret,pre_secret,secret,01299.png,,,,,,,,,1.65,6.5,0.0,0.0,0.5,0.825,0.05,1.7,0.2,6.7,0.25,0.25,0.5,0.5
data/baseline/0,dct,pre_secret_vs_secret,pre_secret,secret,01399.png,,,,,,,,,0.075,0.2,0.0,0.0,0.5,0.0375,0.05,0.125,0.2,0.4,0.25,0.25,0.5,0.5
data/baseline/0,dct,pre_secret_vs_secret,pre_secret,secret,01499.png,,,,,,,,,1.575,6.2,0.0,0.0,0.5,0.7875,0.05,1.625,0.2,6.4,0.25,0.25,0.5,0.5
data/baseline/0,dwt,cover_vs_stego,cover,stego,00099.png,0.0,0.525,0.0,1.0,0.0,0.75,0.5,0.5,0.525,1.0,0.75,0.0,0.5,0.2625,,,,,,,,
data/baseline/0,dwt,cover_vs_stego,cover,stego,00199.png,0.1,0.525,0.4,1.0,0.25,0.75,0.5,0.5,0.42500000000000004,0.6,0.5,0.0,0.5,0.21250000000000002,,,,,,,,
data/baseline/0,dwt,cover_vs_stego,cover,stego,00299.png,0.0,0.55,0.0,1.0,0.0,0.75,0.5,0.5,0.55,1.0,0.75,0.0,0.5,0.275,,,,,,,,
data/baseline/0,dwt,cover_vs_stego,cover,stego,00399.png,0.0,0.2,0.0,0.8,0.0,0.25,0.5,0.5,0.2,0.8,0.25,0.0,0.5,0.1,,,,,,,,
data/baseline/0,dwt,cover_vs_stego,cover,stego,00499.png,0.0,0.3,0.0,1.0,0.0,0.25,0.5,0.5,0.3,1.0,0.25,0.0,0.5,0.15,,,,,,,,
data/baseline/0,dwt,cover_vs_stego,cover,stego,00599.png,0.0,0.4,0.0,1.0,0.0,0.5,0.6,0.5666666666666667,0.4,1.0,0.5,-0.033333333333333326,0.5833333333333333,0.2333333333333333,,,,,,,,
data/baseline/0,dwt,cover_vs_stego,cover,stego,00699.png,0.0,0.45,0.0,0.9,0.0,0.75,0.5,0.5,0.45,0.9,0.75,0.0,0.5,0.225,,,,,,,,
data/baseline/0,dwt,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.5,0.2,1.0,0.25,0.5,0.5,0.5333333333333333,0.35,0.8,0.25,0.033333333333333326,0.5166666666666666,0.1808333333333333,,,,,,,,
data/baseline/0,dwt,cover_vs_stego,cover,stego,00899.png,0.0,0.375,0.0,0.8,0.0,0.5,0.5,0.5,0.375,0.8,0.5,0.0,0.5,0.1875,,,,,,,,
data/baseline/0,dwt,cover_vs_stego,cover,stego,00999.png,0.0,0.525,0.0,1.0,0.0,0.75,0.5666666666666668,0.5333333333333333,0.525,1.0,0.75,-0.03333333333333344,0.55,0.28875000000000006,,,,,,,,
data/baseline/0,dwt,cover_vs_stego,cover,stego,01099.png,0.025,0.25,0.1,1.0,0.0,0.25,0.5,0.5,0.225,0.9,0.25,0.0,0.5,0.1125,,,,,,,,
data/baseline/0,dwt,cover_vs_stego,cover,stego,01199.png,0.0,0.425,0.0,0.9,0.0,0.5,0.5,0.5,0.425,0.9,0.5,0.0,0.5,0.2125,,,,,,,,
data/baseline/0,dwt,cover_vs_stego,cover,stego,01299.png,0.4,0.2,1.6,0.5,0.25,0.5,0.5,0.5,-0.2,-1.1,0.25,0.0,0.5,-0.1,,,,,,,,
data/baseline/0,dwt,cover_vs_stego,cover,stego,01399.png,0.0,0.175,0.0,0.5,0.0,0.0,0.5,0.5,0.175,0.5,0.0,0.0,0.5,0.0875,,,,,,,,
data/baseline/0,dwt,cover_vs_stego,cover,stego,01499.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5,0.5,0.45,1.0,0.5,0.0,0.5,0.225,,,,,,,,
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,00099.png,,,,,,,,,0.2,0.5,0.25,-0.033333333333333326,0.5166666666666666,0.10333333333333333,0.025,0.225,0.1,0.6,0.0,0.25,0.5333333333333333,0.5
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,00199.png,,,,,,,,,0.025,0.1,0.0,-0.033333333333333326,0.5166666666666666,0.012916666666666667,0.0,0.025,0.0,0.1,0.0,0.0,0.5333333333333333,0.5
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,00299.png,,,,,,,,,0.07500000000000001,0.2,0.25,0.0,0.5,0.037500000000000006,0.0,0.07500000000000001,0.0,0.2,0.0,0.25,0.5,0.5
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,00399.png,,,,,,,,,0.09999999999999999,0.0,0.0,0.0,0.5,0.049999999999999996,0.075,0.175,0.3,0.3,0.25,0.25,0.5,0.5
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,00499.png,,,,,,,,,0.15,0.5,0.25,0.0,0.5,0.075,0.0,0.15,0.0,0.5,0.0,0.25,0.5,0.5
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,00599.png,,,,,,,,,0.07500000000000001,0.2,0.25,0.0,0.5,0.037500000000000006,0.0,0.07500000000000001,0.0,0.2,0.0,0.25,0.5,0.5
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,00699.png,,,,,,,,,0.32499999999999996,1.2999999999999998,0.0,0.0,0.5,0.16249999999999998,0.1,0.425,0.4,1.7,0.25,0.25,0.5,0.5
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,00799.png,,,,,,,,,0.125,0.4,0.25,-0.033333333333333326,0.5166666666666666,0.06458333333333333,0.0,0.125,0.0,0.4,0.0,0.25,0.5333333333333333,0.5
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,00899.png,,,,,,,,,0.0,0.0,0.25,0.0,0.5,0.0,0.025,0.025,0.1,0.1,0.0,0.25,0.5,0.5
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,00999.png,,,,,,,,,0.32499999999999996,1.2999999999999998,0.0,0.0,0.5,0.16249999999999998,0.15000000000000002,0.475,0.4,1.7,0.25,0.25,0.5,0.5
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,01099.png,,,,,,,,,0.1,0.30000000000000004,0.0,0.0,0.5,0.05,0.025,0.125,0.1,0.4,0.25,0.25,0.5,0.5
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,01199.png,,,,,,,,,0.19999999999999998,0.7,0.25,0.0,0.5,0.09999999999999999,0.0,0.19999999999999998,0.0,0.7,0.0,0.25,0.5,0.5
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,01299.png,,,,,,,,,0.175,0.39999999999999997,0.25,0.0,0.5,0.0875,0.05,0.22499999999999998,0.2,0.6,0.25,0.5,0.5,0.5
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,01399.png,,,,,,,,,0.12499999999999999,0.2,0.0,0.0,0.5,0.06249999999999999,0.05,0.175,0.2,0.4,0.25,0.25,0.5,0.5
data/baseline/0,dwt,pre_secret_vs_secret,pre_secret,secret,01499.png,,,,,,,,,0.2,0.49999999999999994,0.0,0.0,0.5,0.1,0.05,0.25,0.2,0.7,0.25,0.25,0.5,0.5
data/baseline/0,lsb,cover_vs_stego,cover,stego,00099.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
data/baseline/0,lsb,cover_vs_stego,cover,stego,00199.png,0.1,0.175,0.4,0.4,0.25,0.0,0.5,0.5,0.07499999999999998,0.0,-0.25,0.0,0.5,0.03749999999999999,,,,,,,,
data/baseline/0,lsb,cover_vs_stego,cover,stego,00299.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5,0.5,0.45,1.0,0.5,0.0,0.5,0.225,,,,,,,,
data/baseline/0,lsb,cover_vs_stego,cover,stego,00399.png,0.0,0.15,0.0,0.6,0.0,0.25,0.5,0.5,0.15,0.6,0.25,0.0,0.5,0.075,,,,,,,,
data/baseline/0,lsb,cover_vs_stego,cover,stego,00499.png,0.0,0.425,0.0,1.0,0.0,0.5,0.5,0.5,0.425,1.0,0.5,0.0,0.5,0.2125,,,,,,,,
data/baseline/0,lsb,cover_vs_stego,cover,stego,00599.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5666666666666667,0.5,0.5,1.0,0.5,-0.06666666666666665,0.5333333333333333,0.26666666666666666,,,,,,,,
data/baseline/0,lsb,cover_vs_stego,cover,stego,00699.png,0.0,0.42500000000000004,0.0,0.9,0.0,0.5,0.5,0.5,0.42500000000000004,0.9,0.5,0.0,0.5,0.21250000000000002,,,,,,,,
data/baseline/0,lsb,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.35,0.2,1.0,0.25,0.25,0.5,0.5333333333333333,0.19999999999999996,0.8,0.0,0.033333333333333326,0.5166666666666666,0.1033333333333333,,,,,,,,
data/baseline/0,lsb,cover_vs_stego,cover,stego,00899.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5,0.5,0.45,1.0,0.5,0.0,0.5,0.225,,,,,,,,
data/baseline/0,lsb,cover_vs_stego,cover,stego,00999.png,0.0,0.525,0.0,1.0,0.0,0.75,0.6333333333333334,0.5,0.525,1.0,0.75,-0.13333333333333341,0.5666666666666667,0.2975,,,,,,,,
data/baseline/0,lsb,cover_vs_stego,cover,stego,01099.png,0.025,0.325,0.1,1.0,0.0,0.25,0.5,0.5,0.3,0.9,0.25,0.0,0.5,0.15,,,,,,,,
data/baseline/0,lsb,cover_vs_stego,cover,stego,01199.png,0.0,0.525,0.0,0.9,0.0,0.75,0.5,0.5,0.525,0.9,0.75,0.0,0.5,0.2625,,,,,,,,
data/baseline/0,lsb,cover_vs_stego,cover,stego,01299.png,0.4,0.25,1.6,0.6,0.25,0.5,0.5,0.5,-0.15000000000000002,-1.0,0.25,0.0,0.5,-0.07500000000000001,,,,,,,,
data/baseline/0,lsb,cover_vs_stego,cover,stego,01399.png,0.0,0.35,0.0,1.0,0.0,0.25,0.5,0.5,0.35,1.0,0.25,0.0,0.5,0.175,,,,,,,,
data/baseline/0,lsb,cover_vs_stego,cover,stego,01499.png,0.0,0.675,0.0,1.0,0.0,0.75,0.5,0.5,0.675,1.0,0.75,0.0,0.5,0.3375,,,,,,,,
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,00099.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.025,0.025,0.1,0.1,0.0,0.0,0.5,0.5
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,00199.png,,,,,,,,,0.0,0.0,0.0,-0.033333333333333326,0.5166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,00299.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,00399.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.075,0.075,0.3,0.3,0.25,0.25,0.5,0.5
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,00499.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,00599.png,,,,,,,,,0.0,0.0,0.0,-0.06666666666666665,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.5
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,00699.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.1,0.4,0.4,0.25,0.25,0.5,0.5
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,00799.png,,,,,,,,,0.0,0.0,0.0,0.033333333333333326,0.5166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5333333333333333
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,00899.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.025,0.025,0.1,0.1,0.0,0.0,0.5,0.5
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,00999.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.15000000000000002,0.15000000000000002,0.4,0.4,0.25,0.25,0.5,0.5
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,01099.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.025,0.025,0.1,0.1,0.25,0.25,0.5,0.5
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,01199.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,01299.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.05,0.2,0.2,0.25,0.25,0.5,0.5
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,01399.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.05,0.2,0.2,0.25,0.25,0.5,0.5
data/baseline/0,lsb,pre_secret_vs_secret,pre_secret,secret,01499.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.05,0.2,0.2,0.25,0.25,0.5,0.5
data/baseline/0,original,cover_vs_stego,cover,stego,00099.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
data/baseline/0,original,cover_vs_stego,cover,stego,00199.png,0.1,0.125,0.4,0.3,0.25,0.0,0.5,0.5,0.024999999999999994,-0.10000000000000003,-0.25,0.0,0.5,0.012499999999999997,,,,,,,,
data/baseline/0,original,cover_vs_stego,cover,stego,00299.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5,0.5,0.45,1.0,0.5,0.0,0.5,0.225,,,,,,,,
data/baseline/0,original,cover_vs_stego,cover,stego,00399.png,0.0,0.15,0.0,0.6,0.0,0.25,0.5,0.5,0.15,0.6,0.25,0.0,0.5,0.075,,,,,,,,
data/baseline/0,original,cover_vs_stego,cover,stego,00499.png,0.0,0.425,0.0,1.0,0.0,0.5,0.5,0.5,0.425,1.0,0.5,0.0,0.5,0.2125,,,,,,,,
data/baseline/0,original,cover_vs_stego,cover,stego,00599.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
data/baseline/0,original,cover_vs_stego,cover,stego,00699.png,0.0,0.45,0.0,0.9,0.0,0.5,0.5,0.5,0.45,0.9,0.5,0.0,0.5,0.225,,,,,,,,
data/baseline/0,original,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.35,0.2,1.0,0.25,0.25,0.5,0.5,0.19999999999999996,0.8,0.0,0.0,0.5,0.09999999999999998,,,,,,,,
data/baseline/0,original,cover_vs_stego,cover,stego,00899.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5,0.5,0.45,1.0,0.5,0.0,0.5,0.225,,,,,,,,
data/baseline/0,original,cover_vs_stego,cover,stego,00999.png,0.0,0.525,0.0,1.0,0.0,0.75,0.5333333333333333,0.5,0.525,1.0,0.75,-0.033333333333333326,0.5166666666666666,0.27125,,,,,,,,
data/baseline/0,original,cover_vs_stego,cover,stego,01099.png,0.025,0.325,0.1,1.0,0.0,0.25,0.5,0.5,0.3,0.9,0.25,0.0,0.5,0.15,,,,,,,,
data/baseline/0,original,cover_vs_stego,cover,stego,01199.png,0.0,0.525,0.0,0.9,0.0,0.75,0.5,0.5,0.525,0.9,0.75,0.0,0.5,0.2625,,,,,,,,
data/baseline/0,original,cover_vs_stego,cover,stego,01299.png,0.4,0.275,1.6,0.6,0.25,0.5,0.5,0.5,-0.125,-1.0,0.25,0.0,0.5,-0.0625,,,,,,,,
data/baseline/0,original,cover_vs_stego,cover,stego,01399.png,0.0,0.35,0.0,1.0,0.0,0.25,0.5,0.5,0.35,1.0,0.25,0.0,0.5,0.175,,,,,,,,
data/baseline/0,original,cover_vs_stego,cover,stego,01499.png,0.0,0.65,0.0,1.0,0.0,0.75,0.5,0.5,0.65,1.0,0.75,0.0,0.5,0.325,,,,,,,,
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,00099.png,,,,,,,,,0.0,0.0,0.0,0.033333333333333326,0.5166666666666666,0.0,0.025,0.025,0.1,0.1,0.0,0.0,0.5,0.5333333333333333
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,00199.png,,,,,,,,,0.0,0.0,0.0,0.033333333333333326,0.5166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5333333333333333
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,00299.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,00399.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.075,0.075,0.3,0.3,0.25,0.25,0.5,0.5
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,00499.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,00599.png,,,,,,,,,0.0,0.0,0.0,0.06666666666666665,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5666666666666667
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,00699.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.1,0.4,0.4,0.25,0.25,0.5,0.5
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,00799.png,,,,,,,,,0.0,0.0,0.0,-0.033333333333333326,0.5166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,00899.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.025,0.025,0.1,0.1,0.0,0.0,0.5,0.5
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,00999.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.15,0.15,0.5,0.5,0.25,0.25,0.5,0.5
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,01099.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.025,0.025,0.1,0.1,0.25,0.25,0.5,0.5
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,01199.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,01299.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.05,0.2,0.2,0.25,0.25,0.5,0.5
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,01399.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.075,0.075,0.3,0.3,0.25,0.25,0.5,0.5
data/baseline/0,original,pre_secret_vs_secret,pre_secret,secret,01499.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.05,0.2,0.2,0.25,0.25,0.5,0.5
data/baseline/0,spread_spectrum,cover_vs_stego,cover,stego,00099.png,0.0,0.075,0.0,0.3,0.0,0.0,0.5,0.5,0.075,0.3,0.0,0.0,0.5,0.0375,,,,,,,,
data/baseline/0,spread_spectrum,cover_vs_stego,cover,stego,00199.png,0.1,0.5499999999999999,0.4,1.0,0.25,0.75,0.5,0.5,0.44999999999999996,0.6,0.5,0.0,0.5,0.22499999999999998,,,,,,,,
data/baseline/0,spread_spectrum,cover_vs_stego,cover,stego,00299.png,0.0,0.175,0.0,0.5,0.0,0.25,0.5,0.5,0.175,0.5,0.25,0.0,0.5,0.0875,,,,,,,,
data/baseline/0,spread_spectrum,cover_vs_stego,cover,stego,00399.png,0.0,0.375,0.0,1.3,0.0,0.25,0.5,0.5666666666666667,0.375,1.3,0.25,0.06666666666666665,0.5333333333333333,0.2,,,,,,,,
data/baseline/0,spread_spectrum,cover_vs_stego,cover,stego,00499.png,0.0,0.125,0.0,0.5,0.0,0.0,0.5,0.5,0.125,0.5,0.0,0.0,0.5,0.0625,,,,,,,,
data/baseline/0,spread_spectrum,cover_vs_stego,cover,stego,00599.png,0.0,0.07500000000000001,0.0,0.2,0.0,0.25,0.5,0.5,0.07500000000000001,0.2,0.25,0.0,0.5,0.037500000000000006,,,,,,,,
data/baseline/0,spread_spectrum,cover_vs_stego,cover,stego,00699.png,0.0,0.19999999999999998,0.0,0.7,0.0,0.25,0.5,0.5,0.19999999999999998,0.7,0.25,0.0,0.5,0.09999999999999999,,,,,,,,
data/baseline/0,spread_spectrum,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.475,0.2,1.0,0.25,0.75,0.5,0.5,0.32499999999999996,0.8,0.5,0.0,0.5,0.16249999999999998,,,,,,,,
